,NAME,COURT,JUDICIAL POSITION,COURT ADDRESS,SIGNED DATE,TOTAL AMOUNT RECEIVED (IN DOLLARS),EXTRA-JUDICIAL SERVICES DATE,PLACE,EXTRA-JUDICIAL SERVICES NATURE,EXTRA-JUDICIAL SERVICES PAYOR, AMOUNT,year
61,MARY THOMAS SULLIVAN,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/03/2015,NA,NA,NA,NA,NA,NA,2014
62,JOSEPH A. TRAINOR,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/10/2015,13000,JAN/2014-DEC/2014,MASS SCHOOL OF LAW,TEACHING,MASS SCHOOL OF LAW,13000,2014
63,ARIANE D. VUONO,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/10/2015,2800,MAY/2014 - JULY/2014,WESTERN NEW ENGLAND UNIV.,TEACHING,WESTERN NEW ENGLAND UNIV.,2800,2014
64,GABRIELLE R. WOLOHOJIAN,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,MAR/05/2015,NA,NA,NA,NA,NA,NA,2014
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
71,RALPH D. GANTS,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/11,NA,NA,NA,NA,NA,NA,2009
72,ROBERT J. CORDY,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/12,46400,1/1/09-12/31/09,NEW ENGLAND LAW,TEACHING / LECTURING,NEW ENGLAND LAW,45000,2009
73,ROBERT J. CORDY,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/12,46400,09/09/2015,THE GAMBIA,LECTURING,U.S. STATE DEPT.,1400,2009
74,MARGARET H. MARSHALL,SUPREME JUDICIAL COURT,CHIEF JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/3/9,NA,NA,NA,NA,NA,NA,2009
75,RODERICK IRELAND,SUPREME JUDICIAL COURT,CHIEF JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2010/4/13,23415.13,ALL 2009,NORTHEASTER UNIV.,LECTURE,NEU,19225,2009
76,RODERICK IRELAND,SUPREME JUDICIAL COURT,CHIEF JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2010/4/13,23415.13,NA,THOMSON-WEST PUBLISHING,AUTHOR,THOMSON-WEST,4190.13,2009
77,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/8,13000,SPRING 2011,SUFFOLK LAW SCHOOL,TEACHING,SUFFOLK LAW SCHOOL,5000,2009
78,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/8,13000,SUMMER AND FALL SEMETERS 2011,NORTHEASTERN LAW SCHOOL,TEACHING,NORTHEASTERN LAW SCHOOL,8000,2009
79,FREDERICK L. BROWN,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/3,NA,NA,NA,NA,NA,NA,2009
80,CYNTHIA J. COHEN,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/2/20,NA,NA,NA,NA,NA,NA,2009
81,ROYA S. DREBEN,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/3/19,NA,NA,NA,NA,NA,NA,2009
82,FRANCIS R. FECTEAU,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/2/15,NA,NA,NA,NA,NA,NA,2009
83,HOU. AUDRE A. GELCUAS,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2009/4/30,20000,40581,C/O GOODWIN PROCTER,TRUSTEE FEE,NA,10000,2009
84,HOU. AUDRE A. GELCUAS,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2009/4/30,20000,NA,NA,NA,NA,10000,2009
85,ANDREW GRAINGER,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/2/1,NA,NA,NA,NA,NA,NA,2009
86,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2010/3/1,37589.87,JAN-APR,BOSTON UNIV. LAW SCHOOL,TEACHING,B.U.,8900,2009
87,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2010/3/1,37589.87,AUG-DEC,SUFFOLK LAW SCHOOL,TEACHING,SUFFOLK UNIV.,7500,2009
88,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2010/3/1,37589.87,FRB 12-14,UNIV. OF MISSISSIPPI,TEACHING,UNIV. OF MISSISSIPPI,2700,2009
89,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2010/3/1,37589.87,JAN-DEC,"CONCORD, MA",WRITING SPECIALIZED TEXT,LEXIS - NEXIS,18489.87,2009
90,MARK V. GREEN,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/2/1,NA,NA,NA,NA,NA,NA,2009
91,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2010/4/14,7500,JAN-APR,NEW ENGLAND SCHOOL OF LAW,TEACHING,NEW ENGLAND SCHOOL OF LAW,3600,2009
92,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2010/4/14,7500,JAN- FEB,BROOKLINE,ROOM RENTING,AKITORI MITANI,1300,2009
93,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2010/4/14,7500,AUG-SEP,BROOKLINE,ROOM RENTING,CHRISTIAN BOEHM,1300,2009
94,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2010/4/14,7500,NOV-DEC,BROOKLINE,ROOM RENTING,EDWARD KIM,1300,2009
95,SCOTT L. KATKER,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2010/3/3,5000,JAN - MAY,BOSTON COLLEGE LAW SCHOOL,ADJUNCT PROFESSOR,B.C. LAW SCHOOL,5000,2009
96,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/3/6,8889.01,NA,NA,BOOK ROYALTY,THOMSON WEST,1471.48,2009
97,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/3/6,8889.01,NA,NA,BOOK ROYALTY,ARCADIA,84.21,2009
98,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/3/6,8889.01,NA,NA,TEACHING,NORTHEASTERN UNIV. ,7333.32,2009
99,BARBARA A. LENK,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/13,NA,NA,NA,NA,NA,NA,2009
100,JAMES F. MCHUGH,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/12,NA,NA,NA,NA,NA,NA,2009
